Svetlana Romashina,Russia,2008,Synchronized Swimming,1,0,0,1
Yelena Soya,Russia,2000,Synchronized Swimming,1,0,0,1
Rachel Bootsma,United States,2012,Swimming,1,0,0,1
Li Xuanxu,China,2012,Swimming,0,0,1,1
Li Yunqi,China,2012,Swimming,0,0,1,1
Angie Bainbridge,Australia,2008,Swimming,1,0,0,1
Jiao Liuyang,China,2008,Swimming,0,1,0,1
Kylie Palmer,Australia,2008,Swimming,1,0,0,1
Allison Schmitt,United States,2008,Swimming,0,0,1,1
László Cseh Jr.,Hungary,2004,Swimming,0,0,1,1
Inge Dekker,Netherlands,2004,Swimming,0,0,1,1
Larsen Jensen,United States,2004,Swimming,0,1,0,1
Stanislava Komarova,Russia,2004,Swimming,0,1,0,1
Li Ji,China,2004,Swimming,0,1,0,1
Sam Arsenault,United States,2000,Swimming,1,0,0,1
Amanda Beard,United States,2000,Swimming,0,0,1,1
Ian Crocker,United States,2000,Swimming,1,0,0,1
Elka Graham,Australia,2000,Swimming,0,1,0,1
Julia Stowers,United States,2000,Swimming,1,0,0,1
Manon van Rooijen,Netherlands,2000,Swimming,0,1,0,1
Simon Cho,United States,2010,Short-Track Speed Skating,0,0,1,1
Lee Eun-Byeol,South Korea,2010,Short-Track Speed Skating,0,1,0,1
Byeon Cheon-Sa,South Korea,2006,Short-Track Speed Skating,1,0,0,1
Gang Yun-Mi,South Korea,2006,Short-Track Speed Skating,1,0,0,1
Guo Wei,China,2002,Short-Track Speed Skating,0,0,1,1
Ju Min-Jin,South Korea,2002,Short-Track Speed Skating,1,0,0,1
Li Ye,China,2002,Short-Track Speed Skating,0,0,1,1
Park Hye-Won,South Korea,2002,Short-Track Speed Skating,1,0,0,1
Amelie Kober,Germany,2006,Snowboarding,0,1,0,1
Kelly Clark,United States,2002,Snowboarding,1,0,0,1
Stephan Hocke,Germany,2002,Ski Jumping,1,0,0,1
Veli-Matti Lindström,Finland,2002,Ski Jumping,0,1,0,1
Anastasiya Bliznyuk,Russia,2012,Rhythmic Gymnastics,1,0,0,1
Andreea Stefanescu,Italy,2012,Rhythmic Gymnastics,0,0,1,1
Margarita Aliychuk,Russia,2008,Rhythmic Gymnastics,1,0,0,1
Cai Tongtong,China,2008,Rhythmic Gymnastics,0,1,0,1
Anna Gavrilenko,Russia,2008,Rhythmic Gymnastics,1,0,0,1
Tatyana Gorbunova,Russia,2008,Rhythmic Gymnastics,1,0,0,1
Yevgeniya Kanayeva,Russia,2008,Rhythmic Gymnastics,1,0,0,1
Kseniya Sankovich,Belarus,2008,Rhythmic Gymnastics,0,0,1,1
Alina Tumilovich,Belarus,2008,Rhythmic Gymnastics,0,0,1,1
Marinella Falca,Italy,2004,Rhythmic Gymnastics,0,1,0,1
Ele?nora Kezhova,Bulgaria,2004,Rhythmic Gymnastics,0,0,1,1
Tatyana Kurbakova,Russia,2004,Rhythmic Gymnastics,1,0,0,1
Yelena Posevina,Russia,2004,Rhythmic Gymnastics,1,0,0,1
Laura Vernizzi,Italy,2004,Rhythmic Gymnastics,0,1,0,1
Yuliya Raskina,Belarus,2000,Rhythmic Gymnastics,0,1,0,1
Yelena Shalamova,Russia,2000,Rhythmic Gymnastics,1,0,0,1
Johannes Rydzek,Germany,2010,Nordic Combined,0,0,1,1
Björn Kircheisen,Germany,2002,Nordic Combined,0,1,0,1
Idalys Ortíz,Cuba,2008,Judo,0,0,1,1
Tiago Camilo,Brazil,2000,Judo,0,1,0,1
Marie-Philip Poulin,Canada,2010,Ice Hockey,1,0,0,1
Meghan Agosta,Canada,2006,Ice Hockey,1,0,0,1
Sarah Parsons,United States,2006,Ice Hockey,0,0,1,1
Natalie Darwitz,United States,2002,Ice Hockey,0,1,0,1
Nanna Jansson,Sweden,2002,Ice Hockey,0,0,1,1
Ilya Kovalchuk,Russia,2002,Ice Hockey,0,0,1,1
Josefin Pettersson,Sweden,2002,Ice Hockey,0,0,1,1
Florencia Habif,Argentina,2012,Hockey,0,1,0,1
Lidewij Welten,Netherlands,2008,Hockey,1,0,0,1
Marina Vukcevic,Montenegro,2012,Handball,0,1,0,1
Diana Maria Chelaru,Romania,2012,Gymnastics,0,0,1,1
Ryohei Kato,Japan,2012,Gymnastics,0,1,0,1
Steliana Nistor,Romania,2008,Gymnastics,0,0,1,1
